"Firstseen (UTC)";"Threat";"Malware";"Host";"URL";"Status";"Registrar";"IP address(es)";"ASN(s)";"Country"
"2017-03-16 10:17:57";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1w5iy8.top";"http://hjhqmbxyinislkkt.1w5iy8.top";"offline";"Eranet International Limited";"";"";""
"2017-03-16 09:49:17";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1ajohk.top";"http://p27dokhpz2n7nvgr.1ajohk.top";"offline";"Eranet International Limited";"";"";""
"2017-03-16 05:26:14";"Distribution Site";"Cerber";"ubisortdasert.top";"http://ubisortdasert.top/search.php";"offline";"Eranet International Limited";"";"";""
"2017-03-15 08:50:39";"Distribution Site";"Cerber";"www.weekendlk.top";"http://www.weekendlk.top/user.php?f=1.gif";"offline";"Eranet International Limited";"";"";""
"2017-03-15 08:50:11";"Distribution Site";"Cerber";"www.googlefoad.top";"http://www.googlefoad.top/user.php?f=1.gif";"offline";"Eranet International Limited";"";"";""
"2017-03-15 08:49:07";"Distribution Site";"Cerber";"www.fkauueeepla.top";"http://www.fkauueeepla.top/user.php?f=1.gif";"offline";"Eranet International Limited";"";"";""
"2017-03-15 08:47:51";"Distribution Site";"Cerber";"toytyaclucomunit.top";"http://toytyaclucomunit.top/search.php";"offline";"Eranet International Limited";"";"";""
"2017-03-15 08:47:06";"Distribution Site";"Cerber";"citointechnologiesalefor.top";"http://citointechnologiesalefor.top/search.php";"offline";"Eranet International Limited";"";"";""
"2017-03-15 07:49:09";"Distribution Site";"Cerber";"ponmaredimare.top";"http://ponmaredimare.top/search.php";"offline";"Eranet International Limited";"";"";""
"2017-03-14 17:30:59";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.16bwhs.top";"http://p27dokhpz2n7nvgr.16bwhs.top";"offline";"Eranet International Limited";"";"";""
"2017-03-14 16:45:47";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1aajb7.top";"http://hjhqmbxyinislkkt.1aajb7.top";"offline";"Eranet International Limited";"";"";""
"2017-03-14 06:38:24";"Distribution Site";"Cerber";"renaulrtcenturytrick.top";"http://renaulrtcenturytrick.top/search.php";"offline";"Eranet International Limited";"";"";""
"2017-03-14 01:12:20";"C2";"Locky";"77.73.66.227";"http://77.73.66.227/checkupdate";"offline";"";"77.73.66.227";"43317";"RU"
"2017-03-13 21:34:01";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1nm62r.top";"http://hjhqmbxyinislkkt.1nm62r.top";"offline";"Eranet International Limited";"";"";""
"2017-03-13 17:53:18";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1apkjn.top";"http://p27dokhpz2n7nvgr.1apkjn.top";"offline";"Eranet International Limited";"";"";""
"2017-03-13 07:36:28";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1efxa8.top";"http://hjhqmbxyinislkkt.1efxa8.top";"offline";"Eranet International Limited";"";"";""
